,Buy
4551,1
3245,1
4453,0
8443,0
8842,0
3749,0
7948,1
5725,0
10101,0
2794,1
11745,0
10119,1
11183,1
524,0
947,0
9558,0
9811,0
1280,0
122,0
4366,0
4851,0
5418,1
2302,0
11154,1
11291,1
1005,0
3460,0
8689,1
9405,0
11107,0
3055,1
3566,0
11272,0
2132,1
9006,0
9316,0
6536,0
229,1
6561,0
4001,1
12039,1
8694,0
8596,0
3007,1
6098,1
4587,1
4221,0
8098,0
7008,1
11900,1
2750,0
6730,1
5369,1
4376,0
2944,0
4989,1
2718,1
10970,1
10080,0
5955,1
7925,0
12057,0
12258,1
4161,1
10546,0
9531,1
9338,1
10404,1
10842,1
10862,0
11329,1
10184,0
1017,1
5440,1
5234,1
10935,0
1928,1
350,0
6440,1
11557,0
9315,1
7359,0
8048,1
6192,1
8332,1
564,0
1582,1
2175,0
7512,1
12353,0
3933,0
2707,1
12221,0
9566,1
3535,0
8452,1
7771,1
7199,1
3739,0
9680,0
821,1
2063,0
8362,1
81,1
8141,0
11450,0
2697,1
831,0
4574,0
3826,1
6877,1
2833,1
8193,1
12190,0
7826,1
48,1
11575,0
9162,1
7671,1
9463,0
5027,1
9305,0
4095,1
2689,0
9972,1
4870,1
4845,0
6684,0
2373,0
7755,0
2758,1
7738,0
6950,0
11168,0
10584,1
3880,0
9613,0
9431,0
11347,0
5580,0
6865,0
3945,0
9772,0
2164,0
2886,0
5379,0
8960,0
516,0
9948,1
7174,0
172,0
639,1
5206,1
6649,1
1143,1
8917,1
7581,0
10360,0
1832,0
12285,0
6526,1
3686,1
9390,0
6961,1
4537,0
6345,0
11179,0
834,0
2486,0
9258,0
8484,1
8537,0
5814,1
10905,1
7203,0
65,0
6417,0
11249,0
11579,0
2024,1
6577,0
354,1
7384,0
4762,0
6817,1
10029,1
6333,1
9493,1
11500,1
4568,0
3127,0
5271,1
309,0
7456,1
6127,0
8558,1
4354,0
7952,0
9185,1
7864,1
4963,1
2583,0
11079,1
2770,1
4812,1
8928,1
8432,1
11131,1
3209,0
7194,1
3905,0
6630,0
11904,1
6005,1
9841,1
2379,0
8635,1
11287,1
4169,1
11475,0
3428,1
4421,0
1101,1
6421,0
10937,1
11802,1
3250,1
4409,0
4140,1
3557,1
7298,1
118,1
2022,1
4598,1
9681,0
6927,0
10721,1
7251,1
8898,1
4681,1
10239,0
11420,0
4273,0
11721,1
87,1
5484,0
3382,1
8200,1
403,0
12046,0
3350,1
10304,1
5195,0
8740,1
2241,0
11336,0
8049,1
1027,1
12010,0
11505,0
2436,0
6058,0
8366,1
1278,0
10692,1
7801,1
1425,0
7054,0
1502,0
12055,0
10599,1
10141,0
10618,0
678,1
8621,1
7729,0
7219,0
9703,0
1070,0
9563,1
2480,1
10284,1
3392,0
1099,0
10436,0
8012,1
418,1
7450,1
10632,1
1947,1
3336,0
2299,0
6978,1
8018,1
12099,0
208,1
7724,1
6302,1
5643,1
12024,1
528,1
779,1
722,0
7524,1
1860,0
10491,0
11832,1
11433,0
11215,0
1992,0
2332,0
7900,1
9096,0
6020,1
3459,1
5210,1
6037,1
7152,0
7234,0
4518,1
5610,1
5667,0
10310,1
257,1
9428,1
9362,1
10658,1
12070,1
7676,0
3625,0
702,1
3189,0
503,1
10907,0
2556,0
7769,1
2248,0
372,0
4052,0
3937,1
12244,1
4076,0
997,1
4332,1
10621,0
1176,1
11989,1
551,1
4840,0
4372,1
3497,1
8450,0
5128,0
5799,0
7283,1
8229,1
7807,1
7669,0
8489,0
693,1
2533,0
5011,0
3443,0
982,0
5467,1
11646,0
4222,0
91,1
2266,0
8879,0
11089,0
7628,0
261,0
3337,0
7978,0
11386,0
7053,0
445,1
5111,0
3555,1
2194,0
6902,1
7318,0
2867,1
2526,1
12352,1
8761,0
8449,1
1168,1
4144,1
84,0
3149,0
6998,1
880,1
7159,1
5809,1
