,Buy
688,1.0
1200,0.0
826,0.0
62,0.0
852,0.0
1333,1.0
223,1.0
145,0.0
1088,1.0
373,0.0
1673,0.0
1822,0.0
1378,1.0
1480,1.0
1170,0.0
9,1.0
449,1.0
708,1.0
255,0.0
882,0.0
389,1.0
908,0.0
924,1.0
1675,0.0
1450,0.0
460,1.0
1169,1.0
958,0.0
501,0.0
739,1.0
1800,1.0
868,1.0
731,1.0
539,1.0
697,1.0
1280,1.0
1265,0.0
1031,1.0
372,0.0
667,1.0
1664,0.0
357,0.0
967,1.0
783,0.0
735,1.0
1035,0.0
970,1.0
1636,0.0
1370,0.0
1374,1.0
1567,1.0
1588,1.0
885,1.0
79,1.0
814,1.0
1537,0.0
671,0.0
1502,1.0
57,1.0
133,1.0
1140,1.0
933,1.0
1558,1.0
823,0.0
504,1.0
1834,1.0
347,0.0
386,1.0
1024,0.0
894,0.0
828,0.0
1742,1.0
475,0.0
1356,0.0
1284,1.0
652,0.0
172,0.0
1149,1.0
38,1.0
713,1.0
90,0.0
1782,1.0
875,0.0
1684,0.0
1093,1.0
1155,1.0
1252,1.0
1801,1.0
499,0.0
338,0.0
1188,0.0
28,1.0
1217,0.0
1679,1.0
945,1.0
169,1.0
1292,0.0
1197,1.0
912,0.0
491,0.0
953,0.0
1097,0.0
1032,1.0
587,1.0
750,1.0
657,0.0
234,0.0
732,1.0
1509,1.0
1156,1.0
1355,1.0
1505,1.0
934,0.0
1209,0.0
1065,1.0
108,1.0
1424,0.0
568,1.0
1167,0.0
1174,1.0
890,0.0
947,1.0
1048,1.0
1242,1.0
1348,1.0
1821,0.0
884,0.0
1548,1.0
850,0.0
734,0.0
717,1.0
454,1.0
264,0.0
75,0.0
444,0.0
395,1.0
176,0.0
1042,1.0
1605,0.0
1288,0.0
1268,0.0
595,1.0
61,0.0
872,0.0
1375,0.0
1731,1.0
278,1.0
36,1.0
1399,1.0
662,0.0
1666,1.0
1330,1.0
977,1.0
1453,1.0
738,0.0
191,1.0
919,1.0
456,1.0
675,1.0
760,1.0
1667,1.0
728,1.0
412,0.0
1098,0.0
825,1.0
1380,0.0
616,1.0
114,1.0
417,0.0
1757,0.0
969,1.0
604,0.0
1764,1.0
89,1.0
848,0.0
1403,0.0
1763,1.0
753,1.0
498,1.0
1276,1.0
11,1.0
396,0.0
284,1.0
1066,0.0
1191,1.0
